"Titre de tracé : p41_p"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 20072572, SEN S/N: 20072572, LBL: Pression)","Temp., °C (LGR S/N: 20072572, SEN S/N: 20072572, LBL: Temperature)","Hôte connecté (LGR S/N: 20072572)","Arrêté (LGR S/N: 20072572)","Fin de fichier (LGR S/N: 20072572)"
208,05/20/17 15:45:00,1.23827,12.957,,,
209,05/20/17 16:00:00,1.24910,13.069,,,
210,05/20/17 16:15:00,1.25917,13.171,,,
211,05/20/17 16:30:00,1.26349,13.219,,,
212,05/20/17 16:45:00,1.26719,13.273,,,
213,05/20/17 17:00:00,1.27623,13.354,,,
214,05/20/17 17:15:00,1.28016,13.394,,,
215,05/20/17 17:30:00,1.28435,13.452,,,
216,05/20/17 17:45:00,1.28542,13.479,,,
217,05/20/17 18:00:00,1.29126,13.532,,,
218,05/20/17 18:15:00,1.29557,13.571,,,
219,05/20/17 18:30:00,1.29526,13.607,,,
220,05/20/17 18:45:00,1.29660,13.625,,,
221,05/20/17 19:00:00,1.29858,13.678,,,
222,05/20/17 19:15:00,1.29908,13.684,,,
223,05/20/17 19:30:00,1.29385,13.676,,,
224,05/20/17 19:45:00,1.28882,13.655,,,
225,05/20/17 20:00:00,1.28588,13.658,,,
226,05/20/17 20:15:00,1.28367,13.660,,,
227,05/20/17 20:30:00,1.28172,13.660,,,
228,05/20/17 20:45:00,1.27722,13.657,,,
229,05/20/17 21:00:00,1.27443,13.646,,,
230,05/20/17 21:15:00,1.26982,13.625,,,
231,05/20/17 21:30:00,1.26345,13.584,,,
232,05/20/17 21:45:00,1.25799,13.533,,,
233,05/20/17 22:00:00,1.25048,13.500,,,
234,05/20/17 22:15:00,1.24208,13.457,,,
235,05/20/17 22:30:00,1.23560,13.415,,,
236,05/20/17 22:45:00,1.22953,13.364,,,
237,05/20/17 23:00:00,1.22198,13.317,,,
238,05/20/17 23:15:00,1.21462,13.260,,,
239,05/20/17 23:30:00,1.20779,13.204,,,
240,05/20/17 23:45:00,1.19970,13.150,,,
241,05/21/17 00:00:00,1.19085,13.091,,,
242,05/21/17 00:15:00,1.18471,13.031,,,
243,05/21/17 00:30:00,1.17647,12.968,,,
244,05/21/17 00:45:00,1.16678,12.903,,,
245,05/21/17 01:00:00,1.15911,12.841,,,
246,05/21/17 01:15:00,1.15202,12.778,,,
247,05/21/17 01:30:00,1.14332,12.714,,,
248,05/21/17 01:45:00,1.13455,12.648,,,
249,05/21/17 02:00:00,1.12684,12.576,,,
250,05/21/17 02:15:00,1.12074,12.518,,,
251,05/21/17 02:30:00,1.11440,12.453,,,
252,05/21/17 02:45:00,1.10719,12.388,,,
253,05/21/17 03:00:00,1.10307,12.323,,,
254,05/21/17 03:15:00,1.09831,12.266,,,
255,05/21/17 03:30:00,1.09308,12.207,,,
256,05/21/17 03:45:00,1.08820,12.145,,,
257,05/21/17 04:00:00,1.08446,12.095,,,
258,05/21/17 04:15:00,1.08003,12.031,,,
259,05/21/17 04:30:00,1.07530,11.968,,,
260,05/21/17 04:45:00,1.07137,11.912,,,
261,05/21/17 05:00:00,1.06683,11.851,,,
262,05/21/17 05:15:00,1.06119,11.792,,,
263,05/21/17 05:30:00,1.05718,11.727,,,
264,05/21/17 05:45:00,1.05135,11.657,,,
265,05/21/17 06:00:00,1.05001,11.584,,,
266,05/21/17 06:15:00,1.05024,11.546,,,
267,05/21/17 06:30:00,1.04768,11.519,,,
268,05/21/17 06:45:00,1.04719,11.494,,,
269,05/21/17 07:00:00,1.04871,11.487,,,
270,05/21/17 07:15:00,1.05100,11.487,,,
271,05/21/17 07:30:00,1.05570,11.493,,,
272,05/21/17 07:45:00,1.06287,11.529,,,
273,05/21/17 08:00:00,1.07076,11.557,,,
274,05/21/17 08:15:00,1.07958,11.596,,,
275,05/21/17 08:30:00,1.08522,11.630,,,
276,05/21/17 08:45:00,1.09319,11.669,,,
277,05/21/17 09:00:00,1.10082,11.713,,,
278,05/21/17 09:15:00,1.10868,11.754,,,
279,05/21/17 09:30:00,1.11597,11.798,,,
280,05/21/17 09:45:00,1.12200,11.847,,,
281,05/21/17 10:00:00,1.12753,11.889,,,
282,05/21/17 10:15:00,1.13779,11.947,,,
283,05/21/17 10:30:00,1.13615,11.945,,,
284,05/21/17 10:45:00,1.14118,11.983,,,
285,05/21/17 11:00:00,1.14698,12.025,,,
286,05/21/17 11:15:00,1.14836,12.040,,,
287,05/21/17 11:30:00,1.14591,12.054,,,
288,05/21/17 11:45:00,1.14900,12.090,,,
289,05/21/17 12:00:00,1.15724,12.148,,,
290,05/21/17 12:15:00,1.17247,12.252,,,
291,05/21/17 12:30:00,1.17582,12.298,,,
292,05/21/17 12:45:00,1.18765,12.384,,,
293,05/21/17 13:00:00,1.19558,12.452,,,
294,05/21/17 13:15:00,1.20588,12.526,,,
295,05/21/17 13:30:00,1.22019,12.642,,,
296,05/21/17 13:45:00,1.22980,12.740,,,
297,05/21/17 14:00:00,1.24594,12.870,,,
298,05/21/17 14:15:00,1.25479,12.965,,,
299,05/21/17 14:30:00,1.27024,13.100,,,
300,05/21/17 14:45:00,1.27989,13.195,,,
301,05/21/17 15:00:00,1.28985,13.296,,,
302,05/21/17 15:15:00,1.29843,13.379,,,
303,05/21/17 15:30:00,1.30533,13.457,,,
304,05/21/17 15:45:00,1.31472,13.556,,,
305,05/21/17 16:00:00,1.32868,13.694,,,
306,05/21/17 16:15:00,1.33669,13.793,,,
307,05/21/17 16:30:00,1.34737,13.909,,,
308,05/21/17 16:45:00,1.36236,14.042,,,
309,05/21/17 17:00:00,1.37190,14.171,,,
310,05/21/17 17:15:00,1.37770,14.264,,,
311,05/21/17 17:30:00,1.38140,14.333,,,
312,05/21/17 17:45:00,1.38769,14.412,,,
313,05/21/17 18:00:00,1.39750,14.501,,,
314,05/21/17 18:15:00,1.39929,14.620,,,
315,05/21/17 18:30:00,1.40455,14.680,,,
316,05/21/17 18:45:00,1.40955,14.755,,,
317,05/21/17 19:00:00,1.41020,14.807,,,
318,05/21/17 19:15:00,1.41073,14.824,,,
319,05/21/17 19:30:00,1.40955,14.858,,,
320,05/21/17 19:45:00,1.40497,14.861,,,
321,05/21/17 20:00:00,1.39906,14.856,,,
322,05/21/17 20:15:00,1.39166,14.831,,,
323,05/21/17 20:30:00,1.38411,14.788,,,
324,05/21/17 20:45:00,1.37415,14.734,,,
325,05/21/17 21:00:00,1.36347,14.674,,,
326,05/21/17 21:15:00,1.35306,14.610,,,
327,05/21/17 21:30:00,1.34314,14.538,,,
328,05/21/17 21:45:00,1.33337,14.465,,,
329,05/21/17 22:00:00,1.32143,14.381,,,
330,05/21/17 22:15:00,1.31273,14.304,,,
331,05/21/17 22:30:00,1.30125,14.210,,,
332,05/21/17 22:45:00,1.29358,14.152,,,
333,05/21/17 23:00:00,1.28523,14.096,,,
334,05/21/17 23:15:00,1.27512,14.033,,,
335,05/21/17 23:30:00,1.26646,13.949,,,
336,05/21/17 23:45:00,1.25921,13.877,,,
337,05/22/17 00:00:00,1.24952,13.799,,,
338,05/22/17 00:15:00,1.24025,13.717,,,
339,05/22/17 00:30:00,1.23205,13.635,,,
340,05/22/17 00:45:00,1.22385,13.562,,,
341,05/22/17 01:00:00,1.21519,13.494,,,
342,05/22/17 01:15:00,1.20760,13.427,,,
343,05/22/17 01:30:00,1.20001,13.359,,,
344,05/22/17 01:45:00,1.19303,13.293,,,
345,05/22/17 02:00:00,1.18528,13.240,,,
346,05/22/17 02:15:00,1.17868,13.175,,,
347,05/22/17 02:30:00,1.17281,13.118,,,
348,05/22/17 02:45:00,1.16613,13.064,,,
349,05/22/17 03:00:00,1.16114,13.007,,,
350,05/22/17 03:15:00,1.15522,12.950,,,
351,05/22/17 03:30:00,1.14958,12.889,,,
352,05/22/17 03:45:00,1.14542,12.831,,,
353,05/22/17 04:00:00,1.14065,12.779,,,
354,05/22/17 04:15:00,1.13600,12.726,,,
355,05/22/17 04:30:00,1.13115,12.675,,,
356,05/22/17 04:45:00,1.12951,12.630,,,
357,05/22/17 05:00:00,1.12593,12.579,,,
358,05/22/17 05:15:00,1.12226,12.529,,,
359,05/22/17 05:30:00,1.12001,12.487,,,
360,05/22/17 05:45:00,1.11757,12.440,,,
361,05/22/17 06:00:00,1.11543,12.402,,,
362,05/22/17 06:15:00,1.11372,12.358,,,
363,05/22/17 06:30:00,1.11254,12.320,,,
364,05/22/17 06:45:00,1.11219,12.292,,,
365,05/22/17 07:00:00,1.11234,12.270,,,
366,05/22/17 07:15:00,1.11433,12.269,,,
367,05/22/17 07:30:00,1.11894,12.289,,,
368,05/22/17 07:45:00,1.12497,12.326,,,
369,05/22/17 08:00:00,1.13252,12.354,,,
370,05/22/17 08:15:00,1.13939,12.399,,,
371,05/22/17 08:30:00,1.14477,12.419,,,
372,05/22/17 08:45:00,1.15309,12.464,,,
373,05/22/17 09:00:00,1.16087,12.511,,,
374,05/22/17 09:15:00,1.16819,12.545,,,
375,05/22/17 09:30:00,1.17350,12.597,,,
376,05/22/17 09:45:00,1.18093,12.647,,,
377,05/22/17 10:00:00,1.18772,12.696,,,
