k,k2,l,l2,RMSE1,MAE1,PBias1,KGE1,RMSE2,MAE2,PBias2,KGE2,RMSE3,MAE3,PBias3,KGE3
1e-13,2.1544346900318866e-14,2.0,2.6666666666666665,0.8181031251965912,0.6453637966823221,-0.0620730896206239,0.34844152156889774,0.47702010834879643,0.37676309143347636,-0.3059384715793417,0.21760341621010237,0.2895261911174571,0.2251830958663532,-0.061460645177339526,0.14247516162680074
1e-13,2.1544346900318866e-14,2.0,3.333333333333333,0.8181731010223424,0.6454184769155695,-0.06216251283544177,0.34847139928516746,0.4814156009731784,0.3802750321546268,-0.3075183256775738,0.21960971198740853,0.30295217393752377,0.2356181115032599,-0.06374305461064225,0.14908191479951394
1e-13,2.1544346900318866e-14,2.0,4.0,0.8182430655841244,0.6454733648216414,-0.062223860451466356,0.34850125188361725,0.48491316771219767,0.38306133661717245,-0.3085871180373072,0.2212059035641003,0.31243098678011016,0.2429668651785122,-0.06525406664181356,0.15374640458102962
1e-13,2.1544346900318866e-14,2.6666666666666665,2.0,0.821316361161543,0.6479391050505781,-0.0623102789222921,0.3498103921454192,0.5016394218146936,0.39620411608771294,-0.30734372389293935,0.22883442573222035,0.28648953904968055,0.22284684000071078,-0.06018612739369575,0.14098587313085065
1e-13,2.1544346900318866e-14,2.6666666666666665,2.6666666666666665,0.8214840526761652,0.648069675132227,-0.06245526677797554,0.349881933334394,0.5092806246755824,0.40229088014858433,-0.30991877309791654,0.23232203012265107,0.30828780388977856,0.2397953349030179,-0.06406672074077582,0.15171228956803118
1e-13,2.1544346900318866e-14,2.6666666666666665,3.333333333333333,0.821639164165051,0.648191192039005,-0.06254185882855018,0.3499480748888797,0.5150149344859037,0.4068402394207333,-0.31142842078009647,0.23493869591921523,0.32218946801983384,0.2505620802937135,-0.06628255580542856,0.15855311625435398
1e-13,2.1544346900318866e-14,2.6666666666666665,4.0,0.8217723202972272,0.6482956606486635,-0.062600535650901,0.35000484305882074,0.5194437483470543,0.41034800296067886,-0.3124376857463556,0.2369594040605666,0.33192181582356267,0.25808237302627185,-0.06773753750468098,0.16334236853227102
1e-13,2.1544346900318866e-14,3.333333333333333,2.0,0.8234181988563363,0.6496239749543059,-0.06250974972371807,0.35070582111697923,0.5210821401085833,0.4115663714958299,-0.30949104314264236,0.23770499483102125,0.29753354159348033,0.2314369007577041,-0.061646490500534244,0.14642382204747284
1e-13,2.1544346900318866e-14,3.333333333333333,2.6666666666666665,0.8236730644828487,0.6498232488649128,-0.0626506441030754,0.3508144929620899,0.5299999877249195,0.4186665369860033,-0.31198432694589107,0.2417746351291048,0.3197802028762091,0.24870246818771716,-0.06545568071153055,0.15737095478466712
1e-13,2.1544346900318866e-14,3.333333333333333,3.333333333333333,0.8238869650426686,0.6499909663493921,-0.06273370357725835,0.3509056734373015,0.5365165478973758,0.42383084548261934,-0.31342866219212856,0.24474787874929915,0.33385242611410654,0.25959559978658314,-0.06761386894049132,0.16429575461385604
1e-13,2.1544346900318866e-14,3.333333333333333,4.0,0.8240625403206367,0.6501285872908161,-0.06278944793166129,0.3509805076126513,0.5414686673079205,0.4277438836107584,-0.31438575874130115,0.24700709858488412,0.3436428708822556,0.2671520841313261,-0.06902281347526529,0.16911363257529566
1e-13,2.1544346900318866e-14,4.0,2.0,0.8249114230169022,0.6508222330926202,-0.06263070684021904,0.35134194748726133,0.5348001347355154,0.4224044448406435,-0.31081842175665886,0.24396354044264357,0.30514194021804586,0.2373444632590199,-0.06257323290046195,0.15017032735043934
1e-13,2.1544346900318866e-14,4.0,2.6666666666666665,0.8252302692562288,0.6510720070769063,-0.06276746980465193,0.3514778694542948,0.5445648491973355,0.43015877135848496,-0.3132393503995446,0.24841924853615394,0.3276082987913192,0.25476981088030526,-0.06632072823859374,0.16122565098035702
1e-13,2.1544346900318866e-14,4.0,3.333333333333333,0.8254860614797346,0.6512725162124702,-0.06284725088306592,0.35158689096542917,0.551578948821601,0.4357167937263964,-0.3146287147936865,0.251619266233325,0.3417291232338021,0.2656797382447454,-0.06843150596504616,0.16817442328510146
1e-13,2.1544346900318866e-14,4.0,4.0,0.8256911548057424,0.6514332410215723,-0.06290038709365718,0.3516742958446407,0.5568514397362835,0.4398826538322273,-0.3155431332258522,0.25402448659909793,0.3515052161422851,0.27321094002617674,-0.069803598746811,0.17298528510710365
1e-13,1e-13,2.0,2.0,0.8196260699120719,0.6466486261197834,-0.06989751113892305,0.34909137823135405,0.48918037111880247,0.3872241396321616,-0.4150101605752041,0.2231224713560246,0.29471954458272404,0.22977152020494143,-0.18347331783335039,0.14485281990931687
1e-13,1e-13,2.0,2.6666666666666665,0.8197193776055498,0.6467225061256594,-0.06957502996267886,0.3491311358958191,0.4953071843312126,0.3920742871868871,-0.40785863953506224,0.22591809965253795,0.3134948483071859,0.24427454314340002,-0.16756173515983644,0.154120822244475
1e-13,1e-13,2.0,3.333333333333333,0.8198148687549213,0.6467981620265705,-0.06938673957442489,0.3491718211558208,0.49992204870275636,0.39572642835169514,-0.40361491703775915,0.2280234999555022,0.32543743327538227,0.25352476160111764,-0.15805610431478778,0.1600147217308936
1e-13,1e-13,2.0,4.0,0.8199001458521711,0.6468656112261059,-0.06926003206549303,0.3492081534081899,0.5034952866810932,0.39855047351862666,-0.40072878381336396,0.22965359565171195,0.3337771676242339,0.2599857131921719,-0.1515715319360899,0.1641302601821929
1e-13,1e-13,2.6666666666666665,2.0,0.8224927747859653,0.6489316586730111,-0.06905129619077437,0.3503124267975515,0.5167357409762682,0.4087966329049525,-0.40366698111672966,0.23569799595576424,0.3104848520079858,0.24195111768194325,-0.17500487356309335,0.15263592237238277
1e-13,1e-13,2.6666666666666665,2.6666666666666665,0.8226960658690062,0.649092079042538,-0.06870392696320629,0.3503990366916071,0.5246368449645858,0.41504407627669426,-0.39618954716879645,0.23930266615124263,0.32988949265884043,0.2569709171489761,-0.1590698215212899,0.16221259806120636
1e-13,1e-13,2.6666666666666665,3.333333333333333,0.8228678638565826,0.6492274268558322,-0.06849891731229076,0.3504722271097357,0.530371770328379,0.41958339062257544,-0.39172497721638483,0.2419188316066888,0.3420848045240533,0.2664180846045749,-0.14953822598893837,0.16823029585258908
1e-13,1e-13,2.6666666666666665,4.0,0.823009344326366,0.6493386660738963,-0.06835987151021403,0.3505325003042349,0.534712959613732,0.42301001764391727,-0.3886757402219958,0.2438991453198971,0.35052157055065947,0.2729328876432346,-0.14303051508063952,0.17239321863896562
1e-13,1e-13,3.333333333333333,2.0,0.8243654703530583,0.6504250146662562,-0.06846835030089435,0.35111007813056505,0.5344278056643251,0.4226560935118358,-0.39619881956752623,0.24377202573576007,0.32025916525191955,0.2494842729843962,-0.1695662355481131,0.15746150449641005
1e-13,1e-13,3.333333333333333,2.6666666666666665,0.8246481603647199,0.6506470131425338,-0.0681017383237808,0.35123050983903714,0.543415188563503,0.4297620713616908,-0.38848118925674663,0.24787208986160203,0.3399080331479726,0.264711704765215,-0.1535917278660639,0.16715780446050899
