#,P2Date,H2,TP2
262,17/04/2022 07:15:00,-2.300591716,9.869
263,17/04/2022 07:30:00,-1.998224852,9.911
264,17/04/2022 07:45:00,-2.53964497,9.963
265,17/04/2022 08:00:00,-2.014201183,10.018
266,17/04/2022 08:15:00,-1.630177515,10.089
267,17/04/2022 08:30:00,-2.126627219,10.17
268,17/04/2022 08:45:00,-1.982248521,10.259
269,17/04/2022 09:00:00,-1.833136095,10.354
270,17/04/2022 09:15:00,-1.679881657,10.45
271,17/04/2022 09:30:00,-2.131360947,10.551
272,17/04/2022 09:45:00,-2.165088757,10.661
273,17/04/2022 10:00:00,-1.804142012,10.774
274,17/04/2022 10:15:00,-2.463313609,10.898
275,17/04/2022 10:30:00,-1.686390533,11.023
276,17/04/2022 10:45:00,-1.846745562,11.157
277,17/04/2022 11:00:00,-2.027218935,11.288
278,17/04/2022 11:15:00,-2.208284024,11.431
279,17/04/2022 11:30:00,-1.23964497,11.566
280,17/04/2022 11:45:00,-1.381656805,11.705
281,17/04/2022 12:00:00,-2.415976331,11.85
282,17/04/2022 12:15:00,-1.564497041,11.998
283,17/04/2022 12:30:00,-1.943786982,12.154
284,17/04/2022 12:45:00,-1.95739645,12.298
285,17/04/2022 13:00:00,-2.447337278,12.434
286,17/04/2022 13:15:00,-2.269230769,12.56
287,17/04/2022 13:30:00,-2.023076923,12.675
288,17/04/2022 13:45:00,-2.707100592,12.796
289,17/04/2022 14:00:00,-2.153846154,12.91
290,17/04/2022 14:15:00,-1.366272189,13.017
291,17/04/2022 14:30:00,-2.578106509,13.115
292,17/04/2022 14:45:00,-1.971005917,13.201
293,17/04/2022 15:00:00,-2.489940828,13.269
294,17/04/2022 15:15:00,-1.372781065,13.33
295,17/04/2022 15:30:00,-2.550887574,13.386
296,17/04/2022 15:45:00,-2.524260355,13.448
297,17/04/2022 16:00:00,-2.388757396,13.5
298,17/04/2022 16:15:00,-2.230769231,13.544
299,17/04/2022 16:30:00,-2.25739645,13.578
300,17/04/2022 16:45:00,-1.989349112,13.593
301,17/04/2022 17:00:00,-2.295857988,13.599
302,17/04/2022 17:15:00,-2.4,13.593
303,17/04/2022 17:30:00,-2.840236686,13.581
304,17/04/2022 17:45:00,-2.668639053,13.562
305,17/04/2022 18:00:00,-1.998224852,13.529
306,17/04/2022 18:15:00,-2.189940828,13.484
307,17/04/2022 18:30:00,-2.388757396,13.424
308,17/04/2022 18:45:00,-2.544378698,13.35
309,17/04/2022 19:00:00,-2.388757396,13.264
310,17/04/2022 19:15:00,-2.682248521,13.177
311,17/04/2022 19:30:00,-2.047928994,13.085
312,17/04/2022 19:45:00,-2.133727811,12.993
313,17/04/2022 20:00:00,-1.898816568,12.9
314,17/04/2022 20:15:00,-2.052071006,12.806
315,17/04/2022 20:30:00,-1.831360947,12.71
316,17/04/2022 20:45:00,-1.950887574,12.613
317,17/04/2022 21:00:00,-0.330177515,12.512
318,17/04/2022 21:15:00,-1.955029586,12.411
319,17/04/2022 21:30:00,-1.621301775,12.304
320,17/04/2022 21:45:00,-2.070414201,12.198
321,17/04/2022 22:00:00,-1.727218935,12.083
322,17/04/2022 22:15:00,-1.910059172,11.972
323,17/04/2022 22:30:00,-2.291715976,11.862
324,17/04/2022 22:45:00,-1.801775148,11.751
325,17/04/2022 23:00:00,-1.591715976,11.643
326,17/04/2022 23:15:00,-1.476923077,11.54
327,17/04/2022 23:30:00,-2.023076923,11.44
328,17/04/2022 23:45:00,-1.887573964,11.344
329,18/04/2022 00:00:00,-1.905325444,11.247
330,18/04/2022 00:15:00,-2.542011834,11.16
331,18/04/2022 00:30:00,-1.704733728,11.073
332,18/04/2022 00:45:00,-1.995857988,10.989
333,18/04/2022 01:00:00,-1.774556213,10.912
334,18/04/2022 01:15:00,-2.000591716,10.837
335,18/04/2022 01:30:00,-1.050295858,10.764
336,18/04/2022 01:45:00,-1.530769231,10.692
337,18/04/2022 02:00:00,-1.438461538,10.629
338,18/04/2022 02:15:00,-2.375147929,10.586
339,18/04/2022 02:30:00,-1.806508876,10.556
340,18/04/2022 02:45:00,-1.794674556,10.533
341,18/04/2022 03:00:00,-2.930177515,10.51
342,18/04/2022 03:15:00,-1.790532544,10.482
343,18/04/2022 03:30:00,-1.675147929,10.458
344,18/04/2022 03:45:00,-1.384023669,10.439
345,18/04/2022 04:00:00,-1.661538462,10.423
346,18/04/2022 04:15:00,-1.932544379,10.406
347,18/04/2022 04:30:00,-1.873964497,10.394
348,18/04/2022 04:45:00,-1.417751479,10.387
349,18/04/2022 05:00:00,-1.652662722,10.387
350,18/04/2022 05:15:00,-2.029585799,10.387
351,18/04/2022 05:30:00,-2.162721893,10.392
352,18/04/2022 05:45:00,-2.086390533,10.401
353,18/04/2022 06:00:00,-2.079289941,10.413
354,18/04/2022 06:15:00,-1.837869822,10.429
355,18/04/2022 06:30:00,-2.084023669,10.447
356,18/04/2022 06:45:00,-2.56035503,10.472
357,18/04/2022 07:00:00,-1.361538462,10.505
358,18/04/2022 07:15:00,-1.618934911,10.559
359,18/04/2022 07:30:00,-1.366272189,10.618
360,18/04/2022 07:45:00,-2.501183432,10.686
361,18/04/2022 08:00:00,-2.262130178,10.742
362,18/04/2022 08:15:00,-1.605325444,10.779
363,18/04/2022 08:30:00,-2.038461538,10.815
364,18/04/2022 08:45:00,-1.729585799,10.854
365,18/04/2022 09:00:00,-1.246153846,10.916
366,18/04/2022 09:15:00,-1.359171598,10.988
367,18/04/2022 09:30:00,-2.15147929,11.058
368,18/04/2022 09:45:00,-1.397633136,11.111
369,18/04/2022 10:00:00,-1.765680473,11.157
370,18/04/2022 10:15:00,-1.40887574,11.212
371,18/04/2022 10:30:00,-2.384023669,11.279
372,18/04/2022 10:45:00,-1.973372781,11.359
373,18/04/2022 11:00:00,-2.115384615,11.452
374,18/04/2022 11:15:00,-2.275739645,11.548
375,18/04/2022 11:30:00,-1.713609467,11.634
376,18/04/2022 11:45:00,-1.968639053,11.728
377,18/04/2022 12:00:00,-1.639053254,11.833
378,18/04/2022 12:15:00,-1.799408284,11.94
379,18/04/2022 12:30:00,-2.034319527,12.036
380,18/04/2022 12:45:00,-2.921301775,12.124
381,18/04/2022 13:00:00,-1.862721893,12.204
382,18/04/2022 13:15:00,-1.64852071,12.279
383,18/04/2022 13:30:00,-2.097633136,12.358
384,18/04/2022 13:45:00,-2.278106509,12.444
385,18/04/2022 14:00:00,-2.25739645,12.523
386,18/04/2022 14:15:00,-2.453846154,12.604
387,18/04/2022 14:30:00,-2.413609467,12.675
388,18/04/2022 14:45:00,-2.550887574,12.717
389,18/04/2022 15:00:00,-2.002366864,12.77
390,18/04/2022 15:15:00,-1.749704142,12.8
391,18/04/2022 15:30:00,-1.794674556,12.814
392,18/04/2022 15:45:00,-2.002366864,12.829
393,18/04/2022 16:00:00,-2.137869822,12.841
394,18/04/2022 16:15:00,-2.234911243,12.846
395,18/04/2022 16:30:00,-2.289349112,12.84
396,18/04/2022 16:45:00,-2.275739645,12.825
397,18/04/2022 17:00:00,-2.819526627,12.803
398,18/04/2022 17:15:00,-2.244378698,12.778
399,18/04/2022 17:30:00,-2.549112426,12.764
400,18/04/2022 17:45:00,-2.44260355,12.752
401,18/04/2022 18:00:00,-2.027218935,12.733
402,18/04/2022 18:15:00,-2.34556213,12.702
403,18/04/2022 18:30:00,-2.056804734,12.657
404,18/04/2022 18:45:00,-2.014201183,12.604
405,18/04/2022 19:00:00,-2.212426036,12.541
406,18/04/2022 19:15:00,-2.056804734,12.47
407,18/04/2022 19:30:00,-2.343195266,12.396
408,18/04/2022 19:45:00,-1.821893491,12.323
409,18/04/2022 20:00:00,-2.149112426,12.251
410,18/04/2022 20:15:00,-2.095266272,12.183
411,18/04/2022 20:30:00,-1.928402367,12.11
412,18/04/2022 20:45:00,-1.932544379,12.036
413,18/04/2022 21:00:00,-2.291715976,11.957
414,18/04/2022 21:15:00,-1.740828402,11.878
415,18/04/2022 21:30:00,-2.273372781,11.79
416,18/04/2022 21:45:00,-1.853846154,11.71
417,18/04/2022 22:00:00,-2.079289941,11.631
418,18/04/2022 22:15:00,-2.133727811,11.551
419,18/04/2022 22:30:00,-1.785798817,11.478
420,18/04/2022 22:45:00,-1.722485207,11.399
421,18/04/2022 23:00:00,-1.19704142,11.317
422,18/04/2022 23:15:00,-1.591715976,11.23
423,18/04/2022 23:30:00,-1.821893491,11.146
424,18/04/2022 23:45:00,-2.034319527,11.067
425,19/04/2022 00:00:00,-2.433727811,10.991
426,19/04/2022 00:15:00,-2.244378698,10.915
427,19/04/2022 00:30:00,-1.837869822,10.838
428,19/04/2022 00:45:00,-1.749704142,10.762
