#,dates,pressure_differential_m,temperature_stream_C
162,07/04/2017 10:15:00,-0.042896276,8.018
163,07/04/2017 10:30:00,-0.041939849,8.117
164,07/04/2017 10:45:00,-0.040876251,8.229
165,07/04/2017 11:00:00,-0.039941116,8.357
166,07/04/2017 11:15:00,-0.03845196,8.49
167,07/04/2017 11:30:00,-0.035539546,8.646
168,07/04/2017 11:45:00,-0.0331866,8.813
169,07/04/2017 12:00:00,-0.031231222,9.001
170,07/04/2017 12:15:00,-0.030678794,9.203
171,07/04/2017 12:30:00,-0.028613548,9.418
172,07/04/2017 12:45:00,-0.025148989,9.635
173,07/04/2017 13:00:00,-0.024570361,9.863
174,07/04/2017 13:15:00,-0.023215196,10.096
175,07/04/2017 13:30:00,-0.022915175,10.332
176,07/04/2017 13:45:00,-0.021816466,10.582
177,07/04/2017 14:00:00,-0.021757501,10.817
178,07/04/2017 14:15:00,-0.021008816,11.041
179,07/04/2017 14:30:00,-0.021322055,11.265
180,07/04/2017 14:45:00,-0.020312403,11.482
181,07/04/2017 15:00:00,-0.020583582,11.707
182,07/04/2017 15:15:00,-0.019901817,11.919
183,07/04/2017 15:30:00,-0.020051328,12.137
184,07/04/2017 15:45:00,-0.019603841,12.351
185,07/04/2017 16:00:00,-0.01906543,12.55
186,07/04/2017 16:15:00,-0.019626007,12.731
187,07/04/2017 16:30:00,-0.019526245,12.888
188,07/04/2017 16:45:00,-0.019172291,13.031
189,07/04/2017 17:00:00,-0.019393598,13.154
190,07/04/2017 17:15:00,-0.019751022,13.264
191,07/04/2017 17:30:00,-0.019912115,13.336
192,07/04/2017 17:45:00,-0.020841584,13.385
193,07/04/2017 18:00:00,-0.021977272,13.422
194,07/04/2017 18:15:00,-0.022287549,13.44
195,07/04/2017 18:30:00,-0.023460277,13.439
196,07/04/2017 18:45:00,-0.024675515,13.436
197,07/04/2017 19:00:00,-0.025729267,13.41
198,07/04/2017 19:15:00,-0.026717883,13.376
199,07/04/2017 19:30:00,-0.027588875,13.314
200,07/04/2017 19:45:00,-0.02968324,13.243
201,07/04/2017 20:00:00,-0.030716117,13.159
202,07/04/2017 20:15:00,-0.031425618,13.07
203,07/04/2017 20:30:00,-0.032155469,12.98
204,07/04/2017 20:45:00,-0.033473719,12.889
205,07/04/2017 21:00:00,-0.034235221,12.793
206,07/04/2017 21:15:00,-0.035469784,12.687
207,07/04/2017 21:30:00,-0.036396344,12.574
208,07/04/2017 21:45:00,-0.037801851,12.458
209,07/04/2017 22:00:00,-0.038734275,12.332
