n,dates,pressure_differential_m,temperature_stream_C
431,19/04/2022 01:15:00,-0.12412194918381,13.751
432,19/04/2022 01:30:00,-0.125181365436049,13.745
433,19/04/2022 01:45:00,-0.121438754750569,13.75
434,19/04/2022 02:00:00,-0.111092119389917,13.751
435,19/04/2022 02:15:00,-0.142518167844184,13.745
436,19/04/2022 02:30:00,-0.120725876524763,13.742
437,19/04/2022 02:45:00,-0.146221174183786,13.748
438,19/04/2022 03:00:00,-0.140627060328505,13.745
439,19/04/2022 03:15:00,-0.132092323791776,13.747
440,19/04/2022 03:30:00,-0.136815142037739,13.75
441,19/04/2022 03:45:00,-0.156231172604474,13.751
442,19/04/2022 04:00:00,-0.121141722156484,13.762
443,19/04/2022 04:15:00,-0.118646648366164,13.754
444,19/04/2022 04:30:00,-0.114418884443677,13.757
445,19/04/2022 04:45:00,-0.143914221036387,13.751
446,19/04/2022 05:00:00,-0.137943865895264,13.748
447,19/04/2022 05:15:00,-0.115171367015361,13.759
448,19/04/2022 05:30:00,-0.143993429728143,13.772
449,19/04/2022 05:45:00,-0.133864618269821,13.781
450,19/04/2022 06:00:00,-0.117587232113925,13.786
451,19/04/2022 06:15:00,-0.129557645655578,13.792
452,19/04/2022 06:30:00,-0.139726061459779,13.79
453,19/04/2022 06:45:00,-0.133379465032814,13.786
454,19/04/2022 07:00:00,-0.13825079957582,13.786
455,19/04/2022 07:15:00,-0.127904164215168,13.798
456,19/04/2022 07:30:00,-0.141419147246067,13.808
457,19/04/2022 07:45:00,-0.132735894412295,13.817
458,19/04/2022 08:00:00,-0.11872585705792,13.847
459,19/04/2022 08:15:00,-0.154072735754118,13.877
460,19/04/2022 08:30:00,-0.131488357517135,13.906
461,19/04/2022 08:45:00,-0.158419312714239,13.973
462,19/04/2022 09:00:00,-0.125973452353611,13.967
463,19/04/2022 09:15:00,-0.15215192497903,14.021
464,19/04/2022 09:30:00,-0.145656812255023,14.095
465,19/04/2022 09:45:00,-0.145577603563267,14.083
466,19/04/2022 10:00:00,-0.125557606721891,14.042
467,19/04/2022 10:15:00,-0.149617246842832,14.057
468,19/04/2022 10:30:00,-0.16585502865285,14.018
469,19/04/2022 10:45:00,-0.149993488128674,13.955
470,19/04/2022 11:00:00,-0.153013319501879,13.904
471,19/04/2022 11:15:00,-0.144330066668107,13.823
472,19/04/2022 11:30:00,-0.14033002773442,13.79
473,19/04/2022 11:45:00,-0.136894350729495,13.831
474,19/04/2022 12:00:00,-0.125409090424848,13.826
475,19/04/2022 12:15:00,-0.156607413890316,13.826
476,19/04/2022 12:30:00,-0.136211175763098,13.808
477,19/04/2022 12:45:00,-0.139795369065065,13.88
478,19/04/2022 13:00:00,-0.145122153585669,13.879
479,19/04/2022 13:15:00,-0.114379280097799,13.919
480,19/04/2022 13:30:00,-0.125072453484884,14.009
481,19/04/2022 13:45:00,-0.13908249083926,14.047
482,19/04/2022 14:00:00,-0.136775537691861,14.005
483,19/04/2022 14:15:00,-0.133716101972778,13.979
484,19/04/2022 14:30:00,-0.150033092474552,13.94
485,19/04/2022 14:45:00,-0.139379523433345,13.864
486,19/04/2022 15:00:00,-0.16959763933833,13.792
487,19/04/2022 15:15:00,-0.123062532931571,13.64
